"complete_ds_ubib","authors","title","pid","link","genre_ubib","genre_manual","year","year_ubib","fachbereich_ubib","institut_ubib","institut_short","subject_area","oa_status_bib","oa_status_bib_binary","oa_status_bib_true_false","oa_status_manual","oa_status_manual_binary","oa_status_manual_true_false","oa_status_unpaywall_api","license_bib","license_manual","publisher","journal_name"
"""1048. (Beitrag in einem Buch) Verwater, Vincent; Handy, Mark R.; Le Breton, Eline; Picotti, Vincenzo; Najafabadi, Azam Jozi; Haberland, Christian: Neogene kinematics and structural evolution of the Giudicarie Belt and eastern Southern Alpine orogenic front (Northern Italy) / Vincent Verwater, Mark R. Handy, Eline Le Breton, Vincenzo Picotti, Azam Jozi Najafabadi, Christian Haberland.,  Enthalten in: European Geosciences Union. General Assembly (22. : 2020 : Online) EGU General Assembly 2020 : Online, 4-8 May 2020 / [European Geosciences Union] Göttingen: Copernicus Gesellschaft mbH, 2020 Abstract EGU2020-7840, [FB Geowissenschaften, Institut für Geologische Wissenschaften (WE 1), Fachrichtung Geologie] DOI: 10.5194/egusphere-egu2020-7840""",NA,"neogene kinematics and structural evolution of the giudicarie belt and eastern southern alpine orogenic front (northern italy)","10.5194/egusphere-egu2020-7840","https://doi.org/10.5194/egusphere-egu2020-7840","Beitrag in einem Buch","conference-abstract",2020,2020,"FB Geowissenschaften","Geologische Wissenschaften (WE 1)","WE 1","Fachrichtung Geologie",NA,"no status","no status","gold","open","TRUE","TRUE","cc by","cc-by","Copernicus GmbH",NA
"""(Beitrag in einem Buch) Groß, Philip; Pleuger, Jan; Handy, Mark R.; John, Timm: Three-dimensional temperature variations in a fossil subduction zone resolved by RSCM thermometry (Tauern Window, Eastern Alps) / Philip Groß, Jan Pleuger, Mark R. Handy, Timm John.,  Enthalten in: European Geosciences Union. General Assembly (22. : 2020 : Online) EGU General Assembly 2020 : Online, 4-8 May 2020 / [European Geosciences Union] Göttingen: Copernicus Gesellschaft mbH, 2020 Abstract EGU2020-8054, [FB Geowissenschaften, Institut für Geologische Wissenschaften (WE 1), Fachrichtung Geologie] DOI: 10.5194/egusphere-egu2020-8054""",NA,"three-dimensional temperature variations in a fossil subduction zone resolved by rscm thermometry (tauern window, eastern alps)","10.5194/egusphere-egu2020-8054","https://doi.org/10.5194/egusphere-egu2020-8054","Beitrag in einem Buch","conference-abstract",2020,2020,"FB Geowissenschaften","Geologische Wissenschaften (WE 1)","WE 1","Fachrichtung Geologie",NA,"no status","no status","gold","open","TRUE","TRUE","cc by","cc-by","Copernicus GmbH",NA
"""1585. (Beitrag in einem Buch) Kaya, Mustafa; Dupont-Nivet, Guillaume; Frieling, Joost; Fioroni, Chiara; Rohrmann, Alexander; Altıner, Sevinç Özkan; Vardar, Ezgi; Plessen, Birgit; Mamtimin, Mehmut; Zhaojie, Guo: Epicontinental seas as efficient carbon sinks : proto-Paratethys & West Siberian seas during the PETM / Mustafa Kaya, Guillaume Dupont-Nivet, Joost Frieling, Chiara Fioroni, Alexander Rohrmann, Sevinç Özkan Altıner, Ezgi Vardar, Birgit Plessen, Mehmut Mamtimin, Guo Zhaojie.,  Enthalten in: European Geosciences Union. General Assembly (22. : 2020 : Online) EGU General Assembly 2020 : Online, 4-8 May 2020 / [European Geosciences Union] Göttingen: Copernicus Gesellschaft mbH, 2020 Abstract EGU2020-8570, [FB Geowissenschaften, Institut für Geologische Wissenschaften (WE 1), Fachrichtung Geologie] DOI: 10.5194/egusphere-egu2020-8570""",NA,"epicontinental seas as efficient carbon sinks: proto-paratethys & west siberian seas during the petm","10.5194/egusphere-egu2020-8570","https://doi.org/10.5194/egusphere-egu2020-8570","Beitrag in einem Buch","conference-abstract",2020,2020,"FB Geowissenschaften","Geologische Wissenschaften (WE 1)","WE 1","Fachrichtung Geologie",NA,"no status","no status","gold","open","TRUE","TRUE","cc by","cc-by","Copernicus GmbH",NA
"""1036. (Beitrag in einem Buch) Meijer, Niels; Dupont-Nivet, Guillaume; Licht, Alexis; Roperch, Pierrick; Rohrmann, Alexander; Woutersen, Amber; Hoorn, Carina; Barbolini, Natasha; Sun, Aijun; Abels, Hemmo; Meyer, Hanno; Nowaczyk, Norbert: Intensified hydrological cycle during the Early Eocene Climatic Optimum (EECO) recorded in the Xining Basin, NE Tibet / Niels Meijer, Guillaume Dupont-Nivet, Alexis Licht, Pierrick Roperch, Alexander Rohrmann, Amber Woutersen, Carina Hoorn, Natasha Barbolini, Aijun Sun, Hemmo Abels, Hanno Meyer, Norbert Nowaczyk.,  Enthalten in: European Geosciences Union. General Assembly (22. : 2020 : Online) EGU General Assembly 2020 : Online, 4-8 May 2020 / [European Geosciences Union] Göttingen: Copernicus Gesellschaft mbH, 2020 Abstract EGU2020-8597, [FB Geowissenschaften, Institut für Geologische Wissenschaften (WE 1), Fachrichtung Geologie] DOI: 10.5194/egusphere-egu2020-8597""",NA,"intensified hydrological cycle during the early eocene climatic optimum (eeco) recorded in the xining basin, ne tibet","10.5194/egusphere-egu2020-8597","https://doi.org/10.5194/egusphere-egu2020-8597","Beitrag in einem Buch","conference-abstract",2020,2020,"FB Geowissenschaften","Geologische Wissenschaften (WE 1)","WE 1","Fachrichtung Geologie",NA,"no status","no status","gold","open","TRUE","TRUE","cc by","cc-by","Copernicus GmbH",NA
"""1536. (Beitrag in einem Buch) Bernhardt, Anne; Schwanghart, Wolfgang: Why do shelf-incising submarine canyons form? : Insights from global topographic analyses and regression trees / Anne Bernhardt, Wolfgang Schwanghart.,  Enthalten in: European Geosciences Union. General Assembly (22. : 2020 : Online) EGU General Assembly 2020 : Online, 4-8 May 2020 / [European Geosciences Union] Göttingen: Copernicus Gesellschaft mbH, 2020 Abstract EGU2020-8811, [FB Geowissenschaften, Institut für Geologische Wissenschaften (WE 1), Fachrichtung Geologie] DOI: 10.5194/egusphere-egu2020-8811""",NA,"why do shelf-incising submarine canyons form? - insights from global topographic analyses and regression trees","10.5194/egusphere-egu2020-8811","https://doi.org/10.5194/egusphere-egu2020-8811","Beitrag in einem Buch","conference-abstract",2020,2020,"FB Geowissenschaften","Geologische Wissenschaften (WE 1)","WE 1","Fachrichtung Geologie",NA,"no status","no status","gold","open","TRUE","TRUE","cc by","cc-by","Copernicus GmbH",NA
"""1528. (Beitrag in einem Buch) Klenner, Fabian; Postberg, Frank; Hillier, Jonathan Karl; Khawaja, Nozair; Cable, Morgan L.; Abel, Bernd; Kempf, Sascha; Lunine, Jonathan; Glein, Christopher R.: A method to discriminate between abiotic and biotic processes on cryovolcanically active ocean worlds / Fabian Klenner, Frank Postberg, Jonathan Karl Hillier, Nozair Khawaja, Morgan L. Cable, Bernd Abel, Sascha Kempf, Jonathan Lunine, Christopher R. Glein.,  Enthalten in: European Geosciences Union. General Assembly (22. : 2020 : Online) EGU General Assembly 2020 : Online, 4-8 May 2020 / [European Geosciences Union] Göttingen: Copernicus Gesellschaft mbH, 2020 Abstract EGU2020-9105, [FB Geowissenschaften, Institut für Geologische Wissenschaften (WE 1), Fachrichtung Planetologie / Fernerkundung] DOI: 10.5194/egusphere-egu2020-9105""",NA,"a method to discriminate between abiotic and biotic processes on cryovolcanically active ocean worlds","10.5194/egusphere-egu2020-9105","https://doi.org/10.5194/egusphere-egu2020-9105","Beitrag in einem Buch","conference-abstract",2020,2020,"FB Geowissenschaften","Geologische Wissenschaften (WE 1)","WE 1","Fachrichtung Planetologie / Fernerkundung",NA,"no status","no status","gold","open","TRUE","TRUE","cc by","cc-by","Copernicus GmbH",NA
"""1589. (Beitrag in einem Buch) Rudolf, Michael; Podlesny, Joscha; Rosenau, Matthias; Kornhuber, Ralf; Oncken, Onno: Slip modes and interaction in a simplified strike-slip fault system with increasing geometrical complexity / Michael Rudolf, Joscha Podlesny, Matthias Rosenau, Ralf Kornhuber, Onno Oncken.,  Enthalten in: European Geosciences Union. General Assembly (22. : 2020 : Online) EGU General Assembly 2020 : Online, 4-8 May 2020 / [European Geosciences Union] Göttingen: Copernicus Gesellschaft mbH, 2020 Abstract EGU2020-9369, [FB Geowissenschaften, Institut für Geologische Wissenschaften (WE 1), Fachrichtung Geologie] DOI: 10.5194/egusphere-egu2020-9369""",NA,"slip modes and interaction in a simplified strike-slip fault system with increasing geometrical complexity","10.5194/egusphere-egu2020-9369","https://doi.org/10.5194/egusphere-egu2020-9369","Beitrag in einem Buch","conference-abstract",2020,2020,"FB Geowissenschaften","Geologische Wissenschaften (WE 1)","WE 1","Fachrichtung Geologie",NA,"no status","no status","gold","open","TRUE","TRUE","cc by","cc-by","Copernicus GmbH",NA
"""1026. (Beitrag in einem Buch) Crosetto, Silvia; Metzger, Sabrina; Scherler, Dirk; Oncken, Onno: From depth to surface : how deep-earth processes and active tectonics shape the landscape in Pamir and Hindu Kush / Silvia Crosetto, Sabrina Metzger, Dirk Scherler, Onno Oncken.,  Enthalten in: European Geosciences Union. General Assembly (22. : 2020 : Online) EGU General Assembly 2020 : Online, 4-8 May 2020 / [European Geosciences Union] Göttingen: Copernicus Gesellschaft mbH, 2020 Abstract EGU2020-9477, [FB Geowissenschaften, Institut für Geologische Wissenschaften (WE 1), Fachrichtung Geochemie, Hydrogeologie, Mineralogie] DOI: 10.5194/egusphere-egu2020-9477""",NA,"from depth to surface: how deep-earth processes and active tectonics shape the landscape in pamir and hindu kush","10.5194/egusphere-egu2020-9477","https://doi.org/10.5194/egusphere-egu2020-9477","Beitrag in einem Buch","conference-abstract",2020,2020,"FB Geowissenschaften","Geologische Wissenschaften (WE 1)","WE 1","Fachrichtung Geochemie, Hydrogeologie, Mineralogie",NA,"no status","no status","gold","open","TRUE","TRUE","cc by","cc-by","Copernicus GmbH",NA
"""(Beitrag in einem Buch) Gemignani, Lorenzo; Simon, Daniel; Mittelbach, Benedict; Hippe, Kristina; Handy, Mark: Tectonic, erosional and climatic controls on sedimentary basin evolution a case study from the Tropoja Basin (Albania) / Lorenzo Gemignani, Daniel Simon, Benedict Mittelbach, Kristina Hippe, Mark Handy.,  Enthalten in: European Geosciences Union. General Assembly (22. : 2020 : Online) EGU General Assembly 2020 : Online, 4-8 May 2020 / [European Geosciences Union] Göttingen: Copernicus Gesellschaft mbH, 2020 Abstract EGU2020-9824, [FB Geowissenschaften, Institut für Geologische Wissenschaften (WE 1), Fachrichtung Geologie] DOI: 10.5194/egusphere-egu2020-9824""",NA,"tectonic, erosional and climatic controls on sedimentary basin evolution a case study from the tropoja basin (albania)","10.5194/egusphere-egu2020-9824","https://doi.org/10.5194/egusphere-egu2020-9824","Beitrag in einem Buch","conference-abstract",2020,2020,"FB Geowissenschaften","Geologische Wissenschaften (WE 1)","WE 1","Fachrichtung Geologie",NA,"no status","no status","gold","open","TRUE","TRUE","cc by","cc-by","Copernicus GmbH",NA
"""2056. (Beitrag in einem Buch) Tiantian, Liu; Michael, Gregory; Zuschneid, Wilhelm; Wünnemann, Kai; Oberst, Jürgen: Lunar megaregolith mixing by impacts : evaluation of the non-mare component of mare soils / Liu Tiantian, Gregory Michael, Wilhelm Zuschneid, Kai Wünnemann, Jürgen Oberst.,  Enthalten in: Europlanet Science Congress (2020 : Online) Europlanet Science Congress 2020 : virtual meeting : 21 September - 9 October 2020 Göttingen: Copernicus Gesellschaft mbH, 2020 Abstract EPSC2020-186 EPSC abstracts ; vol. 14, [FB Geowissenschaften, Institut für Geologische Wissenschaften (WE 1), Fachrichtung Planetologie / Fernerkundung] DOI: 10.5194/epsc2020""",NA,"constraints for a saturn dust environment model based on in-situ data of the cda instrument","10.5194/epsc2020-186","https://doi.org/10.5194/epsc2020-186","Beitrag in einem Buch","conference-abstract",2020,2020,"FB Geowissenschaften","Geologische Wissenschaften (WE 1)","WE 1","Fachrichtung Planetologie / Fernerkundung",NA,"no status","no status","gold","open","TRUE","TRUE","cc by","cc-by","Copernicus GmbH",NA
